Ticker,Statistic,Date,Value
AAPL,Market Cap (intraday),1/20/2024,2960000000000.0
AAPL,Enterprise Value,1/20/2024,3010000000000.0
AAPL,Trailing P/E,1/20/2024,31.25
AAPL,Forward P/E,1/20/2024,29.24
AAPL,PEG Ratio (5 yr expected),1/20/2024,2.31
AAPL,Price/Sales (ttm),1/20/2024,7.9
AAPL,Price/Book (mrq),1/20/2024,47.66
AAPL,Enterprise Value/Revenue,1/20/2024,7.86
AAPL,Enterprise Value/EBITDA,1/20/2024,23.31
MSFT,Market Cap (intraday),1/20/2024,2960000000000.0
MSFT,Enterprise Value,1/20/2024,2900000000000.0
MSFT,Trailing P/E,1/20/2024,38.63
MSFT,Forward P/E,1/20/2024,35.71
MSFT,PEG Ratio (5 yr expected),1/20/2024,2.38
MSFT,Price/Sales (ttm),1/20/2024,13.63
MSFT,Price/Book (mrq),1/20/2024,13.42
MSFT,Enterprise Value/Revenue,1/20/2024,13.3
MSFT,Enterprise Value/EBITDA,1/20/2024,25.92
GOOG,Market Cap (intraday),1/20/2024,1840000000000.0
GOOG,Enterprise Value,1/20/2024,1750000000000.0
GOOG,Trailing P/E,1/20/2024,28.35
GOOG,Forward P/E,1/20/2024,22.22
GOOG,PEG Ratio (5 yr expected),1/20/2024,1.4
GOOG,Price/Sales (ttm),1/20/2024,6.38
GOOG,Price/Book (mrq),1/20/2024,6.78
GOOG,Enterprise Value/Revenue,1/20/2024,5.89
GOOG,Enterprise Value/EBITDA,1/20/2024,18.75
GOOGL,Market Cap (intraday),1/20/2024,1840000000000.0
GOOGL,Enterprise Value,1/20/2024,1750000000000.0
GOOGL,Trailing P/E,1/20/2024,28.04
GOOGL,Forward P/E,1/20/2024,22.03
GOOGL,PEG Ratio (5 yr expected),1/20/2024,1.38
GOOGL,Price/Sales (ttm),1/20/2024,6.31
GOOGL,Price/Book (mrq),1/20/2024,6.71
GOOGL,Enterprise Value/Revenue,1/20/2024,5.89
GOOGL,Enterprise Value/EBITDA,1/20/2024,18.75
AMZN,Market Cap (intraday),1/20/2024,1610000000000.0
AMZN,Enterprise Value,1/20/2024,1680000000000.0
AMZN,Trailing P/E,1/20/2024,81.32
AMZN,Forward P/E,1/20/2024,42.73
AMZN,PEG Ratio (5 yr expected),1/20/2024,2.67
AMZN,Price/Sales (ttm),1/20/2024,2.91
AMZN,Price/Book (mrq),1/20/2024,8.77
AMZN,Enterprise Value/Revenue,1/20/2024,3.03
AMZN,Enterprise Value/EBITDA,1/20/2024,22.8
NVDA,Market Cap (intraday),1/20/2024,1470000000000.0
NVDA,Enterprise Value,1/20/2024,1460000000000.0
NVDA,Trailing P/E,1/20/2024,78.5
NVDA,Forward P/E,1/20/2024,30.12
NVDA,PEG Ratio (5 yr expected),1/20/2024,0.6
NVDA,Price/Sales (ttm),1/20/2024,33.02
NVDA,Price/Book (mrq),1/20/2024,44.18
NVDA,Enterprise Value/Revenue,1/20/2024,32.59
NVDA,Enterprise Value/EBITDA,1/20/2024,64.13
META,Market Cap (intraday),1/20/2024,985260000000.0
META,Enterprise Value,1/20/2024,960350000000.0
META,Trailing P/E,1/20/2024,33.84
META,Forward P/E,1/20/2024,22.88
META,PEG Ratio (5 yr expected),1/20/2024,0.89
META,Price/Sales (ttm),1/20/2024,7.94
META,Price/Book (mrq),1/20/2024,6.9
META,Enterprise Value/Revenue,1/20/2024,7.56
META,Enterprise Value/EBITDA,1/20/2024,20.21
TSLA,Market Cap (intraday),1/20/2024,674390000000.0
TSLA,Enterprise Value,1/20/2024,656500000000.0
TSLA,Trailing P/E,1/20/2024,68.43
TSLA,Forward P/E,1/20/2024,56.5
TSLA,PEG Ratio (5 yr expected),1/20/2024,2.32
TSLA,Price/Sales (ttm),1/20/2024,7.7
TSLA,Price/Book (mrq),1/20/2024,12.61
TSLA,Enterprise Value/Revenue,1/20/2024,6.84
TSLA,Enterprise Value/EBITDA,1/20/2024,40.23
LLY,Market Cap (intraday),1/20/2024,596720000000.0
LLY,Enterprise Value,1/20/2024,614390000000.0
LLY,Trailing P/E,1/20/2024,113.87
LLY,Forward P/E,1/20/2024,50.25
LLY,PEG Ratio (5 yr expected),1/20/2024,1.51
LLY,Price/Sales (ttm),1/20/2024,17.71
LLY,Price/Book (mrq),1/20/2024,53.18
LLY,Enterprise Value/Revenue,1/20/2024,19.16
LLY,Enterprise Value/EBITDA,1/20/2024,75.96
AVGO,Market Cap (intraday),1/20/2024,567010000000.0
AVGO,Enterprise Value,1/20/2024,592050000000.0
AVGO,Trailing P/E,1/20/2024,36.73
AVGO,Forward P/E,1/20/2024,25.91
AVGO,PEG Ratio (5 yr expected),1/20/2024,1.82
AVGO,Price/Sales (ttm),1/20/2024,14.44
AVGO,Price/Book (mrq),1/20/2024,23.64
AVGO,Enterprise Value/Revenue,1/20/2024,16.53
AVGO,Enterprise Value/EBITDA,1/20/2024,28.8
V,Market Cap (intraday),1/20/2024,556750000000.0
V,Enterprise Value,1/20/2024,557090000000.0
V,Trailing P/E,1/20/2024,32.72
V,Forward P/E,1/20/2024,27.4
V,PEG Ratio (5 yr expected),1/20/2024,1.68
V,Price/Sales (ttm),1/20/2024,17.3
V,Price/Book (mrq),1/20/2024,14.37
V,Enterprise Value/Revenue,1/20/2024,17.06
V,Enterprise Value/EBITDA,1/20/2024,24.62
UNH,Market Cap (intraday),1/20/2024,465760000000.0
UNH,Enterprise Value,1/20/2024,498660000000.0
UNH,Trailing P/E,1/20/2024,21.1
UNH,Forward P/E,1/20/2024,18.05
UNH,PEG Ratio (5 yr expected),1/20/2024,1.39
UNH,Price/Sales (ttm),1/20/2024,1.27
UNH,Price/Book (mrq),1/20/2024,4.93
UNH,Enterprise Value/Revenue,1/20/2024,1.34
UNH,Enterprise Value/EBITDA,1/20/2024,13.73
WMT,Market Cap (intraday),1/20/2024,437160000000.0
WMT,Enterprise Value,1/20/2024,494750000000.0
WMT,Trailing P/E,1/20/2024,27.02
WMT,Forward P/E,1/20/2024,23.04
WMT,PEG Ratio (5 yr expected),1/20/2024,2.85
WMT,Price/Sales (ttm),1/20/2024,0.69
WMT,Price/Book (mrq),1/20/2024,5.5
WMT,Enterprise Value/Revenue,1/20/2024,0.77
WMT,Enterprise Value/EBITDA,1/20/2024,13.24
XOM,Market Cap (intraday),1/20/2024,387490000000.0
XOM,Enterprise Value,1/20/2024,395800000000.0
XOM,Trailing P/E,1/20/2024,9.63
XOM,Forward P/E,1/20/2024,10.29
XOM,PEG Ratio (5 yr expected),1/20/2024,1.69
XOM,Price/Sales (ttm),1/20/2024,1.16
XOM,Price/Book (mrq),1/20/2024,1.94
XOM,Enterprise Value/Revenue,1/20/2024,1.14
