Unnamed: 0,As of Date: 1/20/2024Current,9/30/2023,6/30/2023,3/31/2023,12/31/2022,Ticker,10/31/2023,7/31/2023,4/30/2023,1/31/2023,10/31/2022,As of Date: 1/19/2024Current,11/30/2023,8/31/2023,5/31/2023,2/28/2023,11/30/2022,0,1
Market Cap (intraday),2.96T,2.68T,3.05T,2.61T,2.07T,AAPL,,,,,,,,,,,,,
Enterprise Value,3.01T,2.72T,3.10T,2.67T,2.14T,AAPL,,,,,,,,,,,,,
Trailing P/E,31.25,28.73,32.88,28.00,21.27,AAPL,,,,,,,,,,,,,
Forward P/E,29.24,25.77,29.41,27.86,21.28,AAPL,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.31,2.18,2.66,2.79,2.53,AAPL,,,,,,,,,,,,,
Price/Sales (ttm),7.90,7.10,8.08,6.89,5.38,AAPL,,,,,,,,,,,,,
Price/Book (mrq),47.66,44.41,49.08,45.99,40.62,AAPL,,,,,,,,,,,,,
Enterprise Value/Revenue,7.86,30.43,37.96,28.14,18.26,AAPL,,,,,,,,,,,,,
Enterprise Value/EBITDA,23.31,88.85,115.92,82.86,54.09,AAPL,,,,,,,,,,,,,
Market Cap (intraday),2.96T,2.35T,2.53T,2.14T,1.79T,MSFT,,,,,,,,,,,,,
Enterprise Value,2.90T,2.29T,2.49T,2.10T,1.74T,MSFT,,,,,,,,,,,,,
Trailing P/E,38.63,32.62,36.89,32.03,25.81,MSFT,,,,,,,,,,,,,
Forward P/E,35.71,28.65,30.86,26.67,25.19,MSFT,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.38,2.33,2.51,2.17,2.12,MSFT,,,,,,,,,,,,,
Price/Sales (ttm),13.63,11.13,12.27,10.59,8.88,MSFT,,,,,,,,,,,,,
Price/Book (mrq),13.42,11.37,13.00,11.71,10.29,MSFT,,,,,,,,,,,,,
Enterprise Value/Revenue,13.30,40.60,44.26,39.82,33.00,MSFT,,,,,,,,,,,,,
Enterprise Value/EBITDA,25.92,72.31,85.51,78.77,71.12,MSFT,,,,,,,,,,,,,
Market Cap (intraday),1.84T,1.66T,1.52T,1.32T,1.15T,GOOG,,,,,,,,,,,,,
Enterprise Value,1.75T,1.57T,1.43T,1.24T,1.06T,GOOG,,,,,,,,,,,,,
Trailing P/E,28.35,27.88,26.88,22.81,17.64,GOOG,,,,,,,,,,,,,
Forward P/E,22.22,19.72,22.52,19.27,16.61,GOOG,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.40,1.25,1.50,1.26,1.25,GOOG,,,,,,,,,,,,,
Price/Sales (ttm),6.38,5.88,5.54,4.84,4.18,GOOG,,,,,,,,,,,,,
Price/Book (mrq),6.78,6.19,5.86,5.17,4.50,GOOG,,,,,,,,,,,,,
Enterprise Value/Revenue,5.89,20.43,19.21,17.73,13.91,GOOG,,,,,,,,,,,,,
Enterprise Value/EBITDA,18.75,62.38,56.55,57.62,49.34,GOOG,,,,,,,,,,,,,
Market Cap (intraday),1.84T,1.66T,1.52T,1.32T,1.15T,GOOGL,,,,,,,,,,,,,
Enterprise Value,1.75T,1.57T,1.43T,1.24T,1.06T,GOOGL,,,,,,,,,,,,,
Trailing P/E,28.04,27.67,26.60,22.75,17.54,GOOGL,,,,,,,,,,,,,
Forward P/E,22.03,19.57,22.32,19.19,16.50,GOOGL,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.38,1.24,1.48,1.26,1.24,GOOGL,,,,,,,,,,,,,
Price/Sales (ttm),6.31,5.83,5.48,4.83,4.15,GOOGL,,,,,,,,,,,,,
Price/Book (mrq),6.71,6.14,5.79,5.15,4.47,GOOGL,,,,,,,,,,,,,
Enterprise Value/Revenue,5.89,20.43,19.21,17.73,13.91,GOOGL,,,,,,,,,,,,,
Enterprise Value/EBITDA,18.75,62.38,56.55,57.62,49.34,GOOGL,,,,,,,,,,,,,
Market Cap (intraday),1.61T,1.31T,1.34T,1.06T,856.94B,AMZN,,,,,,,,,,,,,
Enterprise Value,1.68T,1.39T,1.42T,1.13T,926.53B,AMZN,,,,,,,,,,,,,
Trailing P/E,81.32,100.89,310.38,,76.33,AMZN,,,,,,,,,,,,,
Forward P/E,42.73,40.49,82.64,62.11,41.32,AMZN,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.67,2.53,5.16,3.88,4.67,AMZN,,,,,,,,,,,,,
Price/Sales (ttm),2.91,2.43,2.54,2.05,1.71,AMZN,,,,,,,,,,,,,
Price/Book (mrq),8.77,7.79,8.70,7.26,6.26,AMZN,,,,,,,,,,,,,
Enterprise Value/Revenue,3.03,9.69,10.58,8.87,6.21,AMZN,,,,,,,,,,,,,
Enterprise Value/EBITDA,22.80,55.18,71.10,70.32,74.62,AMZN,,,,,,,,,,,,,
Market Cap (intraday),1.47T,,,,,NVDA,1.01T,1.15T,686.27B,481.78B,333.11B,,,,,,,,
Enterprise Value,1.46T,,,,,NVDA,1.00T,1.15T,685.00B,480.39B,327.76B,,,,,,,,
Trailing P/E,78.50,,,,,NVDA,98.50,243.38,159.48,83.14,44.11,,,,,,,,
Forward P/E,30.12,,,,,NVDA,24.51,62.89,61.73,45.45,29.76,,,,,,,,
PEG Ratio (5 yr expected),0.60,,,,,NVDA,0.82,2.66,3.45,4.64,2.58,,,,,,,,
Price/Sales (ttm),33.02,,,,,NVDA,31.09,45.06,25.79,17.26,11.50,,,,,,,,
Price/Book (mrq),44.18,,,,,NVDA,36.57,47.05,31.05,22.57,13.97,,,,,,,,
Enterprise Value/Revenue,32.59,,,,,NVDA,55.22,85.18,95.25,79.39,55.26,,,,,,,,
Enterprise Value/EBITDA,64.13,,,,,NVDA,91.32,155.24,257.62,270.18,302.36,,,,,,,,
Market Cap (intraday),985.26B,772.49B,738.40B,543.84B,315.56B,META,,,,,,,,,,,,,
Enterprise Value,960.35B,755.26B,728.54B,529.69B,299.68B,META,,,,,,,,,,,,,
Trailing P/E,33.84,34.99,35.56,24.67,11.48,META,,,,,,,,,,,,,
Forward P/E,22.88,18.18,23.81,21.01,15.04,META,,,,,,,,,,,,,
